variable,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
blue,33865407.60000001,34198497.00000001,34254024.60000001,34722251.000000015,36420877.8,37143123.0,35154547.599999994,37469468.2,35841714.0,38389348.599999994,41998771.20000002,44258122.000000015,45488965.800000004,46062157.999999985,47954372.79999999,47410395.19999999,46313891.60000001,10694414.799999997
brown,20720441.766666684,20613615.083333306,20497224.016666673,19998478.66666667,20739697.46666664,21375127.41666667,20506871.68333331,21501218.033333354,23234421.75000002,24495364.85000001,26446855.450000003,27623703.666666675,27832151.466666676,28137216.250000007,27866143.799999997,28444002.28333337,28062806.76666666,6852737.300000003
green,11683777.766666671,11646571.249999989,11424798.18333333,11177297.16666666,11977395.133333324,13167854.41666668,13796760.849999994,14422880.200000003,13971101.749999993,14156242.68333334,14719402.949999996,15113133.5,18540552.799999982,15501211.24999999,16006285.46666668,15093428.783333343,14954768.099999994,3548590.966666665
orange,11845861.933333317,11869504.58333333,11790725.34999999,11681605.33333333,12227831.799999999,13004496.583333347,13377315.183333337,13880003.033333315,13346309.249999983,13251089.183333334,14034803.44999999,14664139.666666664,14728961.966666676,14782975.749999985,15179125.466666684,15150456.116666667,15084485.766666666,3534340.966666665
pink,6799122.766666654,6487684.583333342,6081804.516666653,6227071.16666667,7372824.466666681,8299912.416666664,9051837.183333348,9929509.533333322,9732628.749999993,9785793.349999998,10422491.949999992,10944777.166666662,11047955.466666663,11344724.249999993,11889219.800000004,11550993.783333343,11530903.766666656,2802735.2999999993
purple,3721133.3333333307,3691313.0000000005,3725025.3333333316,3640150.666666663,3675578.000000002,3683374.666666668,3608734.999999999,3857721.666666668,3825156.333333333,3820456.0000000005,3964854.0000000033,3982528.333333333,3911393.333333329,3992434.999999996,4058504.6666666656,3910704.666666665,3800883.3333333298,871573.3333333333
red,56644141.50000002,57548934.49999994,56244500.66666667,54183677.33333338,55153398.33333326,58420552.83333339,57338110.49999998,58901284.666666664,62067057.8333333,64318379.333333366,66972116.99999997,67373574.33333334,59161061.83333345,68967768.49999999,70507087.33333339,69469167.50000004,65402340.33333333,14635495.999999994
yellow,1340514.333333333,1290552.0000000005,1248086.333333335,1222302.6666666665,1264254.0000000007,1267906.6666666653,1222013.0000000002,1351209.6666666653,1381305.3333333335,1445807.000000001,1488366.9999999988,1649713.3333333337,1669586.3333333347,1667722.0,1209838.666666667,1519795.6666666653,1527440.3333333326,332491.3333333334
